ID,Nume,Concurs,Profesor,grupa,dificultate,URL
128,grad,OJI 2009,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=143,
129,program1,.campion 2003,Prof. Emanuela Cerchez,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=570,
130,tzigla,ONI 2006,Prof. Victor Manz,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=780,
131,atelier,.campion 2010,Prof. Nistor-Eugen Moţ,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1169,
132,predecesor,.campion 2009,Prof. Dan Pracsiu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=981,
133,patrate3,.campion 2005,Prof. Radu Jugureanu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=371,
134,comoara,ONI 2005,Prof. Carmen Popescu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=641,
135,politic,ONI 2007,Prof. Victor Manz,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=490,
136,decript,.campion 2007,Prof. Marinel Şerban,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=178,
137,furnici1,ONI 2011,Robert Hasna,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1273,
138,litere,OJI 2011,Prof. Adrian Pintea,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1245,
139,lacusta,OJI 2005,Prof. Nistor-Eugen Moţ,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=793,
140,invest,.campion 2006,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=344,
141,numere4,ONI 2007,Prof. Roxana Tîmplaru,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=421,
142,fry,.campion 2006,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=281,
143,maraton1,ONIG 2010,Prof. Cristina Iordaiche,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1041,
144,sumacifre,OMI Iaşi 2011,Prof. Cornelia Ivaşc,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1203,
145,joc6,ONI 2007,Tiberiu Lucian Florea,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=598,
146,domino1,ONIG 2010,Prof. Adriana Simulescu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1044,
147,scaune,.campion 2007,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=235,
148,mesaj,.campion 2007,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=216,
149,liste,LOT SB 2011,Prof. Marius Nicoli,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1318,
150,copii,ONI 2011,Marius Tiba,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1294,
151,tren4,OJIGIM 2010,Prof. Cristina Sichim,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1018,
152,poarta,ONI 2008,Prof. Radu Vişinescu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=853,
153,tramvai,.campion 2008,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=106,
154,volei1,OJI 2005,Prof. Rodica Pintea,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=788,
155,loto,OJIGIM 2010,Prof. Dana Lica,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1010,
156,pluton,OJI 2006,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=821,
157,echilibru,.campion 2009,Prof. Ilie Vieru,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1090,
158,reteta,OJI 2009,Prof. Emanuela Cerchez,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=121,
159,pizza,.campion 2007,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=160,
160,neuroni,ONIG 2010,Prof. Ciprian Cheşcă,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1038,
